rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00010165243231044,0.0066802,1,0,0
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00014767418023767,0.0082042,1,0,0
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00019521312866127,0.0094234,1,0,0
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00019571886213903,0.010414,1,0,0
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00024123487665159,0.0108966,1,0,0
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00010266389926596,0.0065786,1,0,0
918,0.006225,1245,0.00180846,0.038,0.007442,0.00344178247015986,0.00024174061012935,0.0103632,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00010114669876959,0.0028702,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00015172004818593,0.0043688,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00020381059809864,0.0064262,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00025286674701861,0.0076962,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00029888849494584,0.0087122,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00035148477833631,0.0098044,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.0004050925286823,0.0106934,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00045060854313177,0.0113792,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00045111427660953,0.01143,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00020532779853192,0.00635,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00010013523181407,0.0028956,1,0,0
950,0.0249,1245,0.0018715,0.038,0.01571,0.00362365035963068,0.00026399288384478,0.0077978,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.0001056983002587,0.0050292,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00015778885010832,0.0068834,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00020482206505416,0.008255,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00025236101347776,0.009652,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00030445156339047,0.0107442,1,0,0
